tag,title,semester,credits,level,department,major,description,designAreas,courseRoster,courseSite
LA 6020,Integrating Theory and Practice II,Spring,5,6000,COLLEGE OF AGRICULTURE AND LIFE SCIENCES,Landscape Architecture,"This studio builds on prior course work with an expectation that participants can creatively manipulate the program and conditions of a site, with increased emphasis on contemporary technology and 'best' green practices. Projects focus upon the expression of design solutions that grow from and affirm an explicit sense of site and place. Social, cultural, physical, and historic factors and their relationship to site design and planning are critically explored through theory and practice.",Spatial Design,https://classes.cornell.edu/browse/roster/SP21/class/LA/6020,
LA 7010,Urban Design and Planning,Fall,5,7000,COLLEGE OF AGRICULTURE AND LIFE SCIENCES,Landscape Architecture,"This studio explores the application of urban design and landscape urbanism techniques to the problems and opportunities of contemporary city making. The studio investigates the social, cultural, natural, and infrastructural systems of urban environments, and develops integrated spatial design strategies involving water quality, public space, and flooding infrastructure. The course introduces three-dimensional computer modeling and digital design media as tools for urban design.",Spatial Design,https://classes.cornell.edu/browse/roster/FA20/class/LA/7010,
DEA 5305,Health and Healing Design Studio,Fall,4,5000,COLLEGE OF HUMAN ECOLOGY,Design and Environmental Analysis,"Balancing the needs of patients experiencing acute health issues with the systematic needs of a variety of medical professionals requires spatial environments that must nurture the human spirit. Environmental influences can create both efficient and effective healing mechanisms that not only treat the patient, but restore the body's ability to heal. In this studio, students will utilize spatial constructs that establish code-compliance, critical adjacencies, workflow circulation, and formulate health care facilities that employ evidence-based design principles.",Industrial Design,https://classes.cornell.edu/browse/roster/FA21/class/DEA/5305,
DEA 3055,"Hospitality, Health and Design Industry Immersion Seminar",Spring,1,3000,COLLEGE OF HUMAN ECOLOGY,Design and Environmental Analysis,"This course provides students the opportunity to learn directly from invited industry speakers with expertise in a spectrum of industries that link health, wellness, senior living with hospitality and design thinking. The speakers share their views on business, managerial, career, and other critical industry-related issues.",Industrial Design,https://classes.cornell.edu/browse/roster/SP21/class/DEA/3055,
ARCH 2615,Building Technology II: Structural Elements,Spring,3,2000,"COLLEGE OF ARCHITECTURE, ART, AND PLANNING",Architecture,"Concepts and procedures for the design, manufacture, and construction of structural components (e.g., walls, columns, beams, slabs) in steel, concrete, masonry, and timber.",Art + Design,https://classes.cornell.edu/browse/roster/SP22/class/ARCH/2615,
FSAD 6860,Mechanics of Fibrous Assemblies and their Composites,Fall,3,6000,COLLEGE OF HUMAN ECOLOGY,Fiber Science and Apparel Design,"This class introduces mechanics of fibers, yarns and fabrics in a way that allows students to grasp the role of each constituent and their interaction in the overall response of fabrics under load. Types of fibrous composites will be discussed, and advantages and disadvantages of each type articulated to bring attention to their role as important structural materials. Mechanical models for fibrous composites will be introduced.",Industrial Design,https://classes.cornell.edu/browse/roster/FA22/class/FSAD/6860,
DEA 2020,Introduction to Sustainable Design,Fall,3,2000,COLLEGE OF HUMAN ECOLOGY,Design and Environmental Analysis,"The Introduction to Sustainable Design seminar examines how the term sustainability has come to encompass multiple meanings across a diverse set of disciplines and how it has, is, and will, impact the construction of our shared built environment. The course is divided into 2 parts: Discourses and Applications. Discourses, which will excavate the history and future of sustainability across the domains of economics, culture, sciences, and technology through readings and other media.  Applications, which will examine trajectories within environmental design disciplines emphasizing how discourses have become codified into practices.",Spatial Design,https://classes.cornell.edu/browse/roster/FA22/class/DEA/2020,
DEA 5500,Designing Atmospheres,Spring,3,5000,COLLEGE OF HUMAN ECOLOGY,Design and Environmental Analysis,"From art installations and architectural pavilions to film and theatrical scenography, the crafting of atmospheres connects human experience and physical phenomena through the design of material and immaterial affects. Designing Atmospheres provides students an opportunity to study, design, and manufacture affects through the creation of full-scale atmospheres. Drawing on a contemporary history of artists and designers working within the realm of affects, this course lays a foundation for spatial design that explores aesthetic and environmental perspectives as much as cultural and political discourse.",Spatial Design,https://classes.cornell.edu/browse/roster/SP22/class/DEA/5500,
DEA 2750,Lighting Design: Light InForming Space,Spring,3,2000,COLLEGE OF HUMAN ECOLOGY,Design and Environmental Analysis,"Light brings both necessity and nuance to the built environment, creating functional spaces and conjuring apparitions in perception, scale, time and sensory impulses. Developing a working knowledge of lighting design while seeking light as a transformative element, students will create lighting design/documentation and build light fixtures.",Spatial Design,https://classes.cornell.edu/browse/roster/SP22/class/DEA/2750,
DEA 3030,Materials for Design and Sustainability,Fall,3,3000,COLLEGE OF HUMAN ECOLOGY,Design and Environmental Analysis,"A sustainable approach to the evaluation and selection of materials and finishes for creating products and places for people has the potential to ensure the future survival of our planet. This course provides an introduction to basic material properties and asks students to morph material sensibilities, understand performance testing, building codes, and formulate a life-cycle cost analysis. Emphasis on ""green"" methodologies and assessment, including the LEED and WELL building rating systems.",Industrial Design,https://classes.cornell.edu/browse/roster/FA22/class/DEA/3030,
DEA 4230,Restaurant Charrette: Design Without Reservations,Spring,1,4000,COLLEGE OF HUMAN ECOLOGY,Design and Environmental Analysis,"This intensive weekend-long course pushes the boundaries of current design practices by developing a concept plan for an innovative environment in a nontraditional setting. Students work in multi-disciplinary teams to develop solutions and prepare design presentations for review by visiting design professionals. Typologies include: restaurants, pop-up venues, and user experience phenomena.",Industrial Design,https://classes.cornell.edu/browse/roster/SP22/class/DEA/4230,
ENGL 4705,Human-Centered Design and Engaged Media,Fall,4,4000,COLLEGE OF ARTS AND SCIENCES,Literature,"What happens when Greta Thunberg tears into the EU? Or Banksy interrupts Disney World? Or Black Lives Matters confronts the justice system? How can we help local communities use media to address their concerns? This course mixes seminar, studio, and field activities to explore community-engaged media through hands-on study of media activism, human centered design, and project-based learning. Students combine cultural analysis and media production to study how artists and activists engage audiences in direct action and civic engagement. We'll draw on fields of performance studies, human-computer interaction, and media theory to study how artists and activists use media to create social engagement. Working as critical design teams, we will work with local schools and community organizations on an on-going civic storytelling project.",Policy Design,https://classes.cornell.edu/browse/roster/FA22/class/ENGL/4705,
ENGL 3741,"Design Thinking, Media, and Community",Spring,3,3000,COLLEGE OF ARTS AND SCIENCES,Literature,"This course collaborates with a Civic Storytelling project supporting media ​local projects around issues such as health and wellbeing, the environment, economics, and social identity. Cornell students will role-play as critical design firms working with real stakeholders. Students will learn human-centered design skills through design thinking, media-making, and multivalent performance assessment while helping develop transmedia lesson kits for schools and community organizations. Our goal is to support youth-based civic discourse through transmedia knowledge-making: real stories about real issues for real audiences. Students will also document and reflect on their work by building a class website.",Policy Design,https://classes.cornell.edu/browse/roster/SP22/class/ENGL/3741,
LA 6940,Special Topics in Landscape Architecture,"Fall, Spring",3,6000,"COLLEGE OF ARCHITECTURE, ART, AND PLANNING",Landscape Architecture,"Topical subjects in landscape architectural design, theory, history, or technology. Includes group study of topics not considered in other courses.",Spatial Design,https://classes.cornell.edu/browse/roster/FA22/class/LA/6940,
LA 3180,Site Assembly,Spring,5,3000,"COLLEGE OF ARCHITECTURE, ART, AND PLANNING",Landscape Architecture,"Emphasizes detail design and use of landscape materials in project implementation. It explores construction materials, including specifications, cost estimates, and methods used by landscape architects in project facilitation. It includes lectures, studio problems, and development of drawings leading to construction documentation of one comprehensive project.",Spatial Design,https://classes.cornell.edu/browse/roster/SP22/class/LA/3180,
PMA 3630,Scenic and Lighting Design for Performance Studio I,Fall,4,3000,COLLEGE OF ARTS AND SCIENCES,Performing and Media Arts,"The Scenic and Lighting designers are responsible for creating 'the visual world' of the play. From sketches to models, from groundplans to light plots, this intro-level hands-on, project-based course introduces students to the scenic and lighting design processes through text analysis, visual research, beginning drafting practices, model building, light laboratories and beyond. Intended to provide a foundation in scenic and lighting design practices, the teachings of this course will have future applications in all performance disciplines including Theatre, Dance, Film, and Television.",Art + Design,https://classes.cornell.edu/browse/roster/FA22/class/PMA/3630,
PMA 3610,Creative Apprenticeship,Fall,3,3000,COLLEGE OF ARTS AND SCIENCES,Performing and Media Arts,"Based on previous coursework and experience, students may be offered the opportunity to participate as an apprentice in a mentored PMA creative project. The apprentice experience and number of credits will be defined by the needs of the project, the area of study, and the mentor. Apprentice roles may include Assistant Director, Assistant Designer, Assistant Choreographer, Dramaturg, or others, as determined by the mentor. Successful completion of this course is necessary for application to the AUPR program.",Art + Design,https://classes.cornell.edu/browse/roster/FA22/class/PMA/3610,
PMA 3632,"Production Design for Film, Television and Contemporary and Digital Media Studio I",Spring,4,3000,COLLEGE OF ARTS AND SCIENCES,Performing and Media Arts,"The production designer is responsible for creating, controlling, and managing 'the look' of narrative films, television & contemporary and digital media from page to screen. This hands-on, project-based course explores the processes of production design, art direction, and lighting direction as related to design for these arenas. From initial Production Design sketches, Storyboards, and 'Feel-Boards' to accommodating desired cinematographic angles and looks when designing a studio set, a designer needs to shape an entire visual world while keeping in mind the story as a whole. The goal of this course is to provide an initial understanding of the Production Design process in practice through studio work and instruction.",Art + Design,https://classes.cornell.edu/browse/roster/SP22/class/PMA/3632,
PMA 3631,Project: Terrarium Imagined; World Building Through Allegory,Spring,4,3000,COLLEGE OF ARTS AND SCIENCES,Performing and Media Arts,"The storyteller is a master of their own universe. In this course, students will design a fictional society starting from the ground up. From terra forma to the rise of religions and governments, societies and cultures are shaped by the world that surrounds them.  Natural resources, biological evolution, socio-economics, religion, family dynamics, and cultural mores all play a roll in story development. The goal of this course is to explore allegorical thinking processes as they relate to social matrixes useful for telling ""human"" stories in performance and media. Social diagrams, relatable research, written allegories, concept artwork, and detailed visual representations will be used to express each individual student's unique universe.",Art + Design,https://classes.cornell.edu/browse/roster/SP22/class/PMA/3631,
LA 7020,Advanced Design Studio,Spring,5,7000,"COLLEGE OF ARCHITECTURE, ART, AND PLANNING",Landscape Architecture,"This advanced design studio provides students in the final year of the graduate program in Landscape Architecture with the opportunity to work on complex, real-time projects. The overarching goal of this course is to test the student's theoretical, methodological, technical, and representational competency and ability to engage with a range of scales and issues. Through intensive studio work, seminar sessions, independent research, and site visits, students gain the knowledge and skills necessary to develop sound and creative solutions to environmental design problems.",Spatial Design,https://classes.cornell.edu/browse/roster/SP22/class/LA/7020,
LA 4020,Capstone Community Design Studio,Spring,5,4000,"COLLEGE OF ARCHITECTURE, ART, AND PLANNING",Landscape Architecture,Community and ecological infrastructure design studio.,Spatial Design,https://classes.cornell.edu/browse/roster/SP22/class/LA/4020,
AEM 3110,Design and Innovation,Spring,3,3000,CORNELL SC JOHNSON COLLEGE OF BUSINESS,Applied Economics and Management,"This course introduces students to a design toolkit and mindset for creative problem solving that enables a shift from a 20th century, market-based perspective to a more sustainable, human-centered approach appropriate to this century's systemic challenges. Topics covered include: opportunity finding and innovation; the design thinking cycle of inspiration-interpretation-ideation-implementation; and visual communication. Students will learn to apply design strategies to their work to make it more integrated and collaborative. This course will require openness to new ways of (divergent) thinking.",Industrial Design,https://classes.cornell.edu/browse/roster/SP22/class/AEM/3110,
AEM 4375,Advanced Design and Innovation,Fall,3,4000,CORNELL SC JOHNSON COLLEGE OF BUSINESS,Applied Economics and Management,"This engaged learning course applies design strategies to real-world problems in a business context. You'll act as a business design consultant working directly with a social enterprise client on a set of challenges throughout the semester, applying design tools, theories and overall process to a project that results in a portfolio-ready deliverable. Working in multidisciplinary teams with real deadlines and deliverables, you will use a design toolkit and mindset for creative problem solving. This collaboration will allow you to immerse yourself in a professional setting in which you explore business opportunities; develop innovative concepts; and propose and prototype innovative and entrepreneurial solutions. You'll tackle issues and challenges such as new product, service or business model development; organizational structure and growth; and external threats and opportunities.",Industrial Design,https://classes.cornell.edu/browse/roster/FA22/class/AEM/4375,
MUSIC 3431,Sound Design,Fall,3,3000,COLLEGE OF ARTS AND SCIENCES,Music,"Covering the basics of digital audio, bioacoustics, psychoacoustics and sound design, as they apply to theatre, film and music production. Students create soundscapes for text and moving image using ProTools software.",Art + Design,https://classes.cornell.edu/browse/roster/FA22/class/MUSIC/3431,
MAE 3120,"Mechanical Properties of Materials, Processing, and Design",Fall,3,3000,COLLEGE OF ENGINEERING,Mechanical and Aerospace Engineering,"Relationship between microscopic mechanisms and macroscopic mechanical behavior of engineering materials, how mechanical properties can be modified, and criteria for selection and use of materials in design. Stress, strain and elastic constants as tensor quantities, viscoelasticity and damping, plastic deformation, creep deformation, fracture, and fatigue.",Industrial Design,https://classes.cornell.edu/browse/roster/FA22/class/MAE/3120,
SOC 3150,"Research Design, Practice, and Policy",Fall,3,3000,COLLEGE OF ARTS AND SCIENCES,Sociology,"Examines systematic approaches for addressing questions about poverty, family life, racial inequality, and a range of other issues central to public policy. It emphasizes the logic and methods of social science research, including the measurement of social phenomena, generalizing results to groups of interest, establishing cause and effect, social experiments, survey research, and qualitative methods. It develops skills to critically evaluate the research of others and provides hands-on experience applying research methods to policy-related problems.",Policy Design,https://classes.cornell.edu/browse/roster/FA22/class/SOC/3150,
PMA 3614,Creative Character Design,Fall,3,3000,COLLEGE OF ARTS AND SCIENCES,Performing and Media Arts,"A studio course working on the creation and development of characters on paper. The character designs explored will not be bound by the limits of the human body or physical costumes, but rather will push the limits of character imagery to that which could ultimately be achieved in print illustration, sequential art, traditional animation, digital special effects and animation, video gaming, various forms of puppetry and animatronic forms, depending on the student's area of interest. (Students will not engage in animation, or three-dimensional crafting of characters, but rather will develop the design content that could then be applied to these forms). Confident drawing skill is expected.",Art + Design,https://classes.cornell.edu/browse/roster/FA22/class/PMA/3614,
ORIE 4100,Manufacturing Systems Design: A Consulting Boot Camp,Fall,4,4000,COLLEGE OF ENGINEERING,Operations Reserach and Information Engineering,"This project-based course puts students in the roles of analysts and advisors to an industrial firm facing broad challenges in customer service, product quality, market share, and profitability. Students, working in teams, design a manufacturing logistics system and conduct capacity, material flow, and cost analyses of their design. By taking a view that integrates marketing, distribution, manufacturing, and engineering, students help the company transform into a world-class competitor.",Industrial Design,https://classes.cornell.edu/browse/roster/FA22/class/ORIE/4100,
NBA 3000,Designing New Ventures,Fall,3,3000,CORNELL SC JOHNSON COLLEGE OF BUSINESS,Management Business Admin,"Designing New Ventures is a comprehensive introduction to the key aspects of envisioning, starting and running a new business. New Ventures focuses both on concepts and frameworks in entrepreneurship and on ""doing"" entrepreneurship. Students will form teams, ideate new businesses, complete customer development, construct business models and work towards defining minimum viable products. Topics covered will include definition of the market, sales and distribution, competition, hiring and management of people, cash flow and financial management, making compelling pitches and raising capital. The course culminates in a capstone project of writing a business plan and presenting to a group of entrepreneurs and investors. This course is appropriate both for students interested in launching an entrepreneurial endeavor or students who will benefit from learning frameworks applied to the entrepreneurial process.",Industrial Design,https://classes.cornell.edu/browse/roster/FA22/class/NBA/3000,
